28528,# doc = reaction_black_mirror.2.txt,,,,,,,,,,,,,,,,
28529,# speaker = A,,,,,,,,,,,,,,,,
28530,# sent = 2090,,,,,,,,,,,,,,,,
28531,,Я,Я,SPRO sg 1p - nom,,,   _Я_ должна комментировать всё,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
28532,,должна,ДОЛЖНЫЙ,A - - sg brev f -,,,  Я _должна_ комментировать всё что,а,н,ж,л,о,д,A,ДОЛЖНЫЙ,A - - sg brev f -,Й
28533,,комментировать,КОММЕНТИРОВАТЬ,V ipf - - inf - -,,, Я должна _комментировать_ всё что я,ь,т,а,в,о,р,V,КОММЕНТИРОВАТЬ,V ipf - - inf - -,Ь
28534,,всё,ВСЕ,SPRO n inan acc sg,,,Я должна комментировать _всё_ что я вижу,ё,с,в,,,,S,ВСЕ,S n - acc sg,Е
28535,,что,ЧТО,CONJ,,,"должна комментировать всё _что_ я вижу ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
28536,,я,Я,SPRO sg 1p - nom,,,"комментировать всё что _я_ вижу , не",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
28537,,вижу,ВИДЕТЬ,V ipf praes sg indic - 1p,,,"всё что я _вижу_ , не так",у,ж,и,в,,,V,ВИДЕТЬ,V ipf praes sg indic - 1p,Ь
28538,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28539,,не,НЕ,PART,,,"я вижу , _не_ так ли ?",е,н,,,,,PART,НЕ,PART,Е
28540,,так,ТАК,ADV -,,,"вижу , не _так_ ли ? ",к,а,т,,,,ADV,ТАК,ADV -,К
28541,,ли,ЛИ,PART,,,", не так _ли_ ?  ",и,л,,,,,PART,ЛИ,PART,И
28542,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
28543,,,,,,,,,,,,,,,,,
28544,# sent = 2091,,,,,,,,,,,,,,,,
28545,# speaker = Софья,,,,,,,,,,,,,,,,
28546,# sent = 2092,,,,,,,,,,,,,,,,
28547,,Да,ДА,PART,,,   _Да_ .  ,а,д,,,,,PART,ДА,PART,А
28548,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28549,,,,,,,,,,,,,,,,,
28550,# sent = 2093,,,,,,,,,,,,,,,,
28551,# speaker = А,,,,,,,,,,,,,,,,
28552,# sent = 2094,,,,,,,,,,,,,,,,
28553,,Хорошо,ХОРОШО,ADV -,,,"   _Хорошо_ , я начинаю",о,ш,о,р,о,х,ADV,ХОРОШО,ADV -,О
28554,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
28555,,я,Я,SPRO sg 1p - nom,,," Хорошо , _я_ начинаю запуск .",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
28556,,начинаю,НАЧИНАТЬ,V ipf praes sg indic - 1p,,,"Хорошо , я _начинаю_ запуск . ",ю,а,н,и,ч,а,V,НАЧИНАТЬ,V ipf praes sg indic - 1p,Ь
28557,,запуск,ЗАПУСК,S m inan acc sg,,,", я начинаю _запуск_ .  ",к,с,у,п,а,з,S,ЗАПУСК,S m inan nom sg,К
28558,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
28559,,,,,,,,,,,,,,,,,
28560,# sent = 2095,,,,,,,,,,,,,,,,
28561,,Эээ,ЭЭЭ,INTJ,,,.   _Эээ_ ...  ,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
28562,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
28563,,,,,,,,,,,,,,,,,
